Pays,CategoriePrixNobel
Argentina,Physiology or Medicine
Argentina,Peace
Argentina,Chemistry
Argentina,Physiology or Medicine
Argentina,Peace
Armenia,Physiology or Medicine
Australia,Physics
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Chemistry
Australia,Literature
Australia,Physics
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physiology or Medicine
Australia,Physics
Australia,Physics
Austria,Physics
Austria,Literature
Austria,Chemistry
Austria,Literature
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Economics
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Physics
Austria,Chemistry
Austria,Physiology or Medicine
Austria,Physics
Austria,Physics
Austria,Physiology or Medicine
Austria,Physiology or Medicine
Austria,Chemistry
Austria,Peace
Austria,Peace
Austria,Chemistry
Austria,Literature
Bangladesh,Peace
Belarus,Peace
Belarus,Literature
Belarus,Physics
Belgium,Physics
Belgium,Chemistry
Belgium,Physiology or Medicine
Belgium,Physiology or Medicine
Belgium,Peace
Belgium,Physiology or Medicine
Belgium,Physiology or Medicine
Belgium,Peace
Belgium,Literature
Belgium,Peace
Belgium,Peace
Bosnia and Herzegovina,Chemistry
Bosnia and Herzegovina,Literature
Brazil,Physiology or Medicine
Bulgaria,Literature
Canada,Economics
Canada,Physics
Canada,Physics
Canada,Physics
Canada,Literature
Canada,Physiology or Medicine
Canada,Physics
Canada,Physiology or Medicine
Canada,Economics
Canada,Economics
Canada,Economics
Canada,Peace
Canada,Physics
Canada,Chemistry
Canada,Chemistry
Canada,Physics
Canada,Chemistry
Canada,Chemistry
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Literature
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Peace
Canada,Chemistry
Canada,Physiology or Medicine
Canada,Physiology or Medicine
Chile,Literature
Chile,Literature
China (People's Republic of China),Physiology or Medicine
China (People's Republic of China),Literature
China (People's Republic of China),Peace
China (People's Republic of China),Physics
China (People's Republic of China),Literature
China (People's Republic of China),Physics
China (People's Republic of China),Physics
China (People's Republic of China),Physics
Colombia,Peace
Colombia,Literature
"Congo, Democratic Republic",Peace
Costa Rica,Peace
Croatia,Chemistry
Cyprus,Economics
Czech Republic,Physics
Czech Republic,Literature
Czech Republic,Chemistry
Czech Republic,Physiology or Medicine
Czech Republic,Physiology or Medicine
Czech Republic,Peace
Denmark,Chemistry
Denmark,Chemistry
Denmark,Physiology or Medicine
Denmark,Physics
Denmark,Physics
Denmark,Literature
Denmark,Physiology or Medicine
Denmark,Physiology or Medicine
Denmark,Physics
Denmark,Physiology or Medicine
Denmark,Literature
Denmark,Literature
Denmark,Peace
Denmark,Physiology or Medicine
East Timor,Peace
East Timor,Peace
Egypt,Peace
Egypt,Chemistry
Egypt,Literature
Egypt,Peace
Ethiopia,Peace
Faroe Islands,Physiology or Medicine
Finland,Economics
Finland,Peace
Finland,Physiology or Medicine
Finland,Chemistry
Finland,Literature
France,Chemistry
France,Physics
France,Physics
France,Literature
France,Physics
France,Chemistry
France,Economics
France,Physics
France,Chemistry
France,Economics
France,Literature
France,Physics
France,Physiology or Medicine
France,Literature
France,Physiology or Medicine
France,Physiology or Medicine
France,Physics
France,Chemistry
France,Literature
France,Peace
France,Physics
France,Physics
France,Physics
France,Economics
France,Chemistry
France,Literature
France,Economics
France,Physiology or Medicine
France,Physiology or Medicine
France,Peace
France,Physics
France,Chemistry
France,Peace
France,Physics
France,Physiology or Medicine
France,Physiology or Medicine
France,Physiology or Medicine
France,Literature
France,Literature
France,Literature
France,Physiology or Medicine
France,Literature
France,Peace
France,Peace
France,Literature
France,Literature
France,Chemistry
France,Chemistry
France,Literature
France,Physics
France,Physiology or Medicine
France,Literature
France,Peace
France,Peace
France,Physics
France,Literature
France,Peace
France,Literature
France,Chemistry
France,Physiology or Medicine
France,Physiology or Medicine
France,Chemistry
France,Chemistry
France,Chemistry
France,Peace
France,Physics
France,Physiology or Medicine
France,Peace
France,Chemistry
France,Literature
France,Physics
France,Physics
France,Physics
France,Peace
France,Peace
France,Literature
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Literature
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Physics
Germany,Physics
Germany,Physics
Germany,Physiology or Medicine
Germany,Literature
Germany,Physics
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Economics
Germany,Physiology or Medicine
Germany,Physiology or Medicine
Germany,Physics
Germany,Physics
Germany,Chemistry
Germany,Chemistry
Germany,Chemistry
Germany,Physics
Germany,Physics
Germany,Chemistry
Germany,Physics
Germany,Physics
Germany,Physics
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Peace
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Literature
Germany,Chemistry
Germany,Peace
Germany,Physiology or Medicine
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Literature
Germany,Physiology or Medicine
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Physics
Germany,Physics
Germany,Physiology or Medicine
Germany,Physics
Germany,Physics
Germany,Physics
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Physiology or Medicine
Germany,Peace
Germany,Chemistry
Germany,Chemistry
Germany,Literature
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Peace
Germany,Physiology or Medicine
Germany,Physics
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Chemistry
Germany,Chemistry
Germany,Literature
Germany,Chemistry
Germany,Chemistry
Germany,Peace
Germany,Chemistry
Germany,Peace
Germany,Physics
Germany,Physics
Germany,Physiology or Medicine
Germany,Physics
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Physics
Germany,Chemistry
Germany,Physics
Germany,Literature
Germany,Physics
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Literature
Germany,Physics
Germany,Chemistry
Germany,Literature
Germany,Physiology or Medicine
Germany,Chemistry
Germany,Physiology or Medicine
Germany,Physics
Germany,Chemistry
Germany,Chemistry
Germany,Literature
Germany,Physiology or Medicine
Germany,Physics
Ghana,Peace
Greece,Literature
Greece,Literature
Guatemala,Peace
Guatemala,Literature
Hong Kong,Physics
Hungary,Physics
Hungary,Physiology or Medicine
Hungary,Chemistry
Hungary,Literature
Hungary,Chemistry
Hungary,Economics
Hungary,Chemistry
Hungary,Physics
Hungary,Physics
Hungary,Physiology or Medicine
Hungary,Chemistry
Hungary,Physiology or Medicine
Hungary,Chemistry
Hungary,Medicine
Hungary,Physics
Iceland,Literature
India,Economics
India,Peace
India,Chemistry
India,Literature
India,Economics
India,Physics
India,Peace
India,Medicine
India,Physics
India,Literature
Iran,Peace
Iran,Peace
Iraq,Peace
Ireland,Physiology or Medicine
Ireland,Peace
Ireland,Peace
Ireland,Literature
Ireland,Peace
Ireland,Peace
Ireland,Peace
Ireland,Literature
Ireland,Physics
Ireland,Literature
Ireland,Literature
Israel,Economics
Israel,Chemistry
Israel,Chemistry
Israel,Chemistry
Israel,Chemistry
Israel,Economics
Israel,Chemistry
Israel,Chemistry
Israel,Economics
Israel,Peace
Israel,Peace
Israel,Peace
Israel,Literature
Italy,Physics
Italy,Physiology or Medicine
Italy,Physics
Italy,Literature
Italy,Physiology or Medicine
Italy,Economics
Italy,Physics
Italy,Literature
Italy,Physiology or Medicine
Italy,Physiology or Medicine
Italy,Chemistry
Italy,Physics
Italy,Literature
Italy,Physiology or Medicine
Italy,Physics
Italy,Literature
Italy,Literature
Italy,Physics
Italy,Peace
Italy,Physiology or Medicine
Italy,Literature
Japan,Physics
Japan,Chemistry
Japan,Physiology or Medicine
Japan,Literature
Japan,Physiology or Medicine
Japan,Physics
Japan,Physiology or Medicine
Japan,Physics
Japan,Physics
Japan,Physics
Japan,Physiology or Medicine
Japan,Chemistry
Japan,Chemistry
Japan,Chemistry
Japan,Physics
Japan,Physics
Japan,Physics
Japan,Chemistry
Japan,Physics
Japan,Chemistry
Japan,Chemistry
Japan,Literature
Japan,Physiology or Medicine
Japan,Chemistry
Japan,Peace
Japan,Physics
Japan,Literature
Japan,Physics
Japan,Physics
Kenya,Peace
Lebanon,Physiology or Medicine
Latvia,Chemistry
Liberia,Peace
Liberia,Peace
Lithuania,Chemistry
Luxembourg,Physiology or Medicine
Luxembourg,Physics
Mexico,Chemistry
Mexico,Literature
Mexico,Peace
Myanmar (Burma),Peace
Morocco,Physics
Netherlands,Economics
Netherlands,Chemistry
Netherlands,Peace
Netherlands,Physics
Netherlands,Physics
Netherlands,Physics
Netherlands,Chemistry
Netherlands,Physics
Netherlands,Physics
Netherlands,Economics
Netherlands,Physiology or Medicine
Netherlands,Economics
Netherlands,Physics
Netherlands,Chemistry
Netherlands,Physiology or Medicine
Netherlands,Physiology or Medicine
Netherlands,Physics
Netherlands,Peace
Netherlands,Physics
Netherlands,Physics
Netherlands,Physics
Netherlands,Chemistry
New Zealand,Chemistry
New Zealand,Physiology or Medicine
New Zealand,Chemistry
Nigeria,Literature
North Macedonia,Peace
Norway,Literature
Norway,Physiology or Medicine
Norway,Physiology or Medicine
Norway,Economics
Norway,Economics
Norway,Physics
Norway,Economics
Norway,Chemistry
Norway,Chemistry
Norway,Literature
Norway,Peace
Norway,Peace
Norway,Literature
Norway,Literature
Pakistan,Physics
Pakistan,Peace
Palestine,Peace
Peru,Literature
Philippines,Peace
Poland,Literature
Poland,Economics
Poland,Literature
Poland,Peace
Poland,Peace
Poland,Physics
Poland,Peace
Poland,Chemistry
Poland,Literature
Poland,Literature
Poland,Peace
Poland,Physiology or Medicine
Poland,Physiology or Medicine
Poland,Physics
Poland,Literature
Poland,Chemistry
Poland,Physics
Poland,Literature
Poland,Physics
Portugal,Literature
Portugal,Physiology or Medicine
Romania,Chemistry
Romania,Literature
Romania,Peace
Romania,Physiology or Medicine
Russia and Soviet Union,Chemistry
Russia and Soviet Union,Peace
Russia and Soviet Union,Peace
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Economics
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Peace
Russia and Soviet Union,Literature
Russia and Soviet Union,Physics
Russia and Soviet Union,Peace
Russia and Soviet Union,Chemistry
Russia and Soviet Union,Peace
Russia and Soviet Union,Economics
Russia and Soviet Union,Economics
Russia and Soviet Union,Literature
Russia and Soviet Union,Literature
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Literature
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Physics
Russia and Soviet Union,Chemistry
Russia and Soviet Union,Literature
Russia and Soviet Union,Physiology or Medicine
Russia and Soviet Union,Physiology or Medicine
Saint Lucia,Literature
Saint Lucia,Economics
Slovenia,Chemistry
South Africa,Chemistry
South Africa,Literature
South Africa,Physiology or Medicine
South Africa,Peace
South Africa,Peace
South Africa,Literature
South Africa,Peace
South Africa,Chemistry
South Africa,Physiology or Medicine
South Africa,Peace
South Africa,Physiology or Medicine
South Korea,Peace
Spain,Literature
Spain,Literature
Spain,Literature
Spain,Physiology or Medicine
Spain,Literature
Spain,Literature
Spain,Physiology or Medicine
Spain,Literature
Sweden,Physics
Sweden,Physiology or Medicine
Sweden,Chemistry
Sweden,Literature
Sweden,Physiology or Medicine
Sweden,Peace
Sweden,Physiology or Medicine
Sweden,Physiology or Medicine
Sweden,Physics
Sweden,Physiology or Medicine
Sweden,Economics
Sweden,Literature
Sweden,Literature
Sweden,Economics
Sweden,Physiology or Medicine
Sweden,Physics
Sweden,Physiology or Medicine
Sweden,Literature
Sweden,Peace
Sweden,Physiology or Medicine
Sweden,Literature
Sweden,Chemistry
Sweden,Literature
Sweden,Peace
Sweden,Chemistry
Sweden,Chemistry
Sweden,Physics
Sweden,Peace
Sweden,Literature
Sweden,Physics
Sweden,Physiology or Medicine
Sweden,Literature
Sweden,Peace
Sweden,Chemistry
Switzerland,Physics
Switzerland,Physics
Switzerland,Chemistry
Switzerland,Chemistry
Switzerland,Physiology or Medicine
Switzerland,Physiology or Medicine
Switzerland,Chemistry
Switzerland,Physics
Switzerland,Physics
Switzerland,Physiology or Medicine
Switzerland,Physiology or Medicine
Switzerland,Physics
Switzerland,Physiology or Medicine
Switzerland,Physiology or Medicine
Switzerland,Physiology or Medicine
Switzerland,Literature
Switzerland,Chemistry
Switzerland,Physics
Switzerland,Physics
Switzerland,Literature
Switzerland,Chemistry
Switzerland,Physiology or Medicine
Switzerland,Peace
Switzerland,Peace
Switzerland,Peace
Taiwan,Chemistry
Taiwan, Physics 
Taiwan,Physics
Taiwan,Physics
Tanzania,Literature
Tibet,Peace
Trinidad and Tobago,Literature
Tunisia,Chemistry
Tunisia,Peace
Turkey,Chemistry
Turkey,Literature
Ukraine,Peace
Ukraine,Literature
Ukraine,Physiology or Medicine
Ukraine,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Literature
United Kingdom,Chemistry
United Kingdom,Economics
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Economics
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Economics
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Physics
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Economics
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Peace
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Economics
United Kingdom,Peace
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Economics
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Economics
United Kingdom,Literature
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Chemistry
United Kingdom,Economics
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Economics
United Kingdom,Physics
United Kingdom,Peace
United Kingdom,Peace
United Kingdom,Peace
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Economics
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Literature
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Economics
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Peace
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Literature
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Literature
United Kingdom,Physics
United Kingdom,Peace
United Kingdom,Literature
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Chemistry
United Kingdom,Peace
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Physics
United Kingdom,Peace
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Physics
United Kingdom,Peace
United Kingdom,Peace
United Kingdom,Physics
United Kingdom,Physiology or Medicine
United Kingdom,Literature
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Physiology or Medicine
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Peace
United Kingdom,Literature
United Kingdom,Physiology or Medicine
United Kingdom,Physiology or Medicine
United Kingdom,Chemistry
United Kingdom,Chemistry
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Chemistry
United Kingdom,Literature
United Kingdom,Physics
United Kingdom,Physics
United Kingdom,Chemistry
United Kingdom,Peace
United Kingdom,Physiology or Medicine
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Chemistry
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Economics
United States,Economics
United States,Economics
United States,Peace
United States,Physics
United States,Chemistry
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Literature
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Economics
United States,Chemistry
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Literature
United States,Economics
United States,Chemistry
United States,Physics
United States,Physics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Chemistry
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Economics
United States,Economics
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Economics
United States,Peace
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Economics
United States,Economics
United States,Economics
United States,Peace
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Economics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physiology or Medicine
United States,Physics
United States,Economics
United States,Economics
United States,Peace
United States,Chemistry
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Economics
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Economics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Economics
United States,Peace
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physics
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Economics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Economics
United States,Literature
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Chemistry
United States,Economics
United States,Economics
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Literature
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Peace
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Economics
United States,Physics
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Literature
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Economics
United States,Literature
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Economics
United States,Literature
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Economics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physiology or Medicine
United States,Economics
United States,Peace
United States,Physics
United States,Chemistry
United States,Chemistry
United States,Chemistry
United States,Economics
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Economics
United States,Physiology or Medicine
United States,Economics
United States,Peace
United States,Physiology or Medicine
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physics
United States,Peace
United States,Physics
United States,Physiology or Medicine
United States,Physics
United States,Physics
United States,Literature
United States,Peace
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physics
United States,Physics
United States,Physics
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Physics
United States,Physics
United States,Chemistry
United States,Literature
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Peace
United States,Physiology or Medicine
United States,Physics
United States,Physics
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Peace
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Literature
United States,Literature
United States,Peace
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Chemistry
United States,Chemistry
United States,Peace
United States,Peace
United States,Physics
United States,Physiology or Medicine
United States,Peace
United States,Physics
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physics
United States,Physiology or Medicine
United States,Physics
United States,Literature
United States,Physics
United States,Literature
United States,Physics
United States,Chemistry
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Physiology or Medicine
United States,Chemistry
United States,Peace
United States,Peace
United States,Literature
United States,Peace
United States,Physics
United States,Peace
United States,Physics
United States,Peace
United States,Chemistry
United States,Peace
United States,Physics
United States,Peace
Venezuela,Physiology or Medicine
Vietnam,Peace
Yemen,Peace
Yugoslavia,Literature
Yugoslavia,Chemistry
Yugoslavia,Chemistry
