"Category";"Break 1";"Break 2";"Break 3";"Break 4";"Break 5";"End of the school year break"
"Latvia";1;2;1;;;13,2
"Greece";2;2,8;;;;12,2
"Lithuania";1;2;1;1;;12
"Romania";1;2,2;1;1,6;;11
"Estonia";1;2,4;1;1;;11,2
"France";2;2,2;2;2,2;;8
"Türkiye";1;2;1;;;12
"Italy¹";2;0,8;;;;13
"Luxembourg";1;2;1;2;1;8,8
"Portugal";2,2;0,6;2;;;10,2
"Croatia";2;1;1,4;;;10,4
"Austria";1,2;2;1;1,2;;9
"Hungary";2,4;0,8;;;;10,8
"Ireland²";1;2;2,2;;;8,8
"Poland";1,2;2;0,8;;;9,8
"Slovenia";1;1,2;1;0,8;;9,8
"Spain¹";2;1,2;;;;10,6
"Sweden";1;2,4;1;1,2;;8
"Finland¹";1;1,8;0,8;;;9,8
"Bulgaria";1,2;1,2;;;;10,8
"Slovak Republic";2,2;1;0,8;;;9
"Czech Republic";0,6;0,2;1,4;1;0,6;9
"Iceland";1,6;1,2;;;;10
"New Zealand";2,2;2;2;;;6,4
"Australia";2,2;2;2;;;6,2
"Colombia";1;3;1;;;7,2
"Norway¹";0,8;1,8;1;1,2;;7
"Netherlands";1;2;1;1;;6,2
"Costa Rica";1,2;2;;;;7,6
"Denmark";1;1,6;1;1,2;;6
"Germany¹";1;1,4;1,2;;;6
"Switzerland¹";1;1,2;1;1,2;;4
".";;;;;;
"French Comm. (Belgium)";2;2;2;2;;7
"Flemish Comm. (Belgium)";1;2;1;2;;8,8
"England (UK)¹";1;2,2;1;2;1;5,8
"Scotland(UK)";1;2;1;2;;6