"country","immigrationByCountry_immigrants","immigrationByCountry_percPop","immigrationByCountry_emigrants"
"India",4878704,0.35,17869492
"China",1039675,0.07,10461170
"United States",50632836,15.28,2996223
"Indonesia",355505,0.13,4601369
"Pakistan",3276580,1.48,6328400
"Nigeria",1308568,0.63,1670455
"Brazil",1079708,0.51,1897128
"Bangladesh",2115408,1.28,7401763
"Russia",11636911,7.97,10756697
"Ethiopia",1085517,0.94,946129
"Mexico",1197624,0.93,11185737
"Japan",2770996,2.19,808825
"Philippines",225525,0.21,6094307
"Egypt",543937,0.53,3610461
"DR Congo",952871,1.06,1832069
"Vietnam",76767,0.08,3392025
"Iran",2797235,3.33,1325113
"Turkey",6052652,7.18,3411408
"Germany",15762457,18.81,3855268
"Thailand",3632496,5.2,1086985
"Tanzania",426017,0.71,327863
"United Kingdom",9359587,13.79,4732510
"France",8524876,13.06,2341908
"South Africa",2860495,4.82,914901
"Italy",6386998,10.56,3258831
"Kenya",1050147,1.95,535348
"Myanmar",76446,0.14,3711751
"Colombia",1905393,3.74,3024273
"South Korea",1728182,3.37,2204554
"Uganda",1720313,3.76,781440
"Sudan",1379147,3.15,2104887
"Spain",6842202,14.63,1489823
"Iraq",365766,0.91,2077976
"Algeria",250378,0.57,2022337
"Argentina",2281728,5.05,1076148
"Afghanistan",144098,0.37,5853838
"Poland",817254,2.16,4825096
"Canada",8049323,21.33,1292329
"Morocco",102358,0.28,3262222
"Ukraine",4997387,11.43,6139144
"Angola",656434,2,668066
"Saudi Arabia",13454842,38.65,299268
"Uzbekistan",1162007,3.47,2027823
"Yemen",387113,1.3,1301166
"Mozambique",338850,1.08,640160
"Ghana",476412,1.53,1004324
"Peru",1224519,3.71,1519635
"Malaysia",3476560,10.74,1860037
"Nepal",487564,1.67,2599701
"Madagascar",35563,0.13,193526
"Ivory Coast",2564857,9.72,1149298
"Venezuela",1324193,4.66,5415337
"Cameroon",579209,2.18,441015
"Niger",348056,1.44,399707
"Australia",7685860,30.14,598765
"North Korea",49549,0.19,110377
"Syria",868711,4.96,8457214
"Mali",485829,2.4,1303511
"Burkina Faso",723989,3.46,1599347
"Sri Lanka",40254,0.19,1960025
"Malawi",191362,1,311052
"Zambia",187955,1.02,200700
"Kazakhstan",3732073,19.88,4203899
"Chile",1645015,8.61,643800
"Romania",705310,3.67,3987093
"Chad",547494,3.33,222303
"Somalia",58590,0.37,2034221
"Ecuador",784787,4.45,1127891
"Guatemala",84311,0.47,1368431
"Senegal",274929,1.64,693765
"Netherlands",2358333,13.76,970403
"Cambodia",79341,0.47,1104819
"Zimbabwe",416141,2.8,1243314
"Guinea",121437,0.92,550790
"Rwanda",513907,3.97,492489
"Benin",394276,3.25,681827
"Burundi",344767,2.9,551105
"Bolivia",164121,1.41,927244
"Tunisia",60145,0.51,902268
"Haiti",18884,0.17,1769671
"Belgium",2005479,17.3,577463
"Dominican Republic",603794,5.57,1608567
"Jordan",3457691,33.89,814909
"South Sudan",882252,7.88,2575870
"Cuba",3024,0.03,1757300
"Honduras",39195,0.4,985077
"Sweden",2003908,19.84,327581
"Papua New Guinea",31068,0.35,4810
"Czech Republic",540921,5.05,1026108
"Azerbaijan",252228,2.49,1163922
"Tajikistan",276031,2.89,586851
"Greece",1340456,12.86,1088507
"Portugal",1001963,9.83,2081419
"Hungary",584567,6.05,714420
"United Arab Emirates",8716332,88.13,203214
"Belarus",1067090,11.29,1483626
"Israel",1953575,22.57,358691
"Togo",279936,3.38,545409
"Sierra Leone",53746,0.67,152486
"Austria",1738183,19.3,600740
"Switzerland",2491249,28.79,713623
"Laos",48731,0.67,1296051
"Hong Kong",2962491,39.52,1007788
"Nicaragua",42167,0.64,718154
"Serbia",823011,9.42,1003962
"Libya",826537,12.03,185518
"Paraguay",169567,2.38,896484
"Kyrgyzstan",199011,3.05,774377
"Bulgaria",184363,2.65,1683626
"Turkmenistan",194920,3.23,242554
"El Salvador",42767,0.66,1599058
"Republic of the Congo",387606,7.02,223767
"Singapore",2523648,43.14,348464
"Denmark",717574,12.39,257025
"Central African Republic",88546,1.83,816668
"Slovakia",197161,3.61,419651
"Finland",386052,6.97,311889
"Liberia",87947,1.74,233564
"Norway",852238,15.72,191392
"Palestine",272784,5.35,4022791
"New Zealand",1381724,28.65,806159
"Costa Rica",520729,10.22,150241
"Lebanon",1712762,25.09,856814
"Ireland",871256,17.64,734317
"Mauritania",182286,3.92,130226
"Oman",2372836,46.47,25099
"Panama",313165,7.26,139520
"Kuwait",3110159,72.83,212271
"Croatia",528056,12.86,1039526
"Eritrea",13934,0.39,802822
"Georgia",79368,1.99,861077
"Mongolia",21345,0.65,82098
"Uruguay",108267,3.12,367060
"Moldova",104438,2.59,1159443
"Puerto Rico",247132,8.64,1850529
"Bosnia and Herzegovina",36042,1.1,1687639
"Albania",48810,1.7,1250451
"Jamaica",23629,0.8,1118931
"Armenia",190349,6.42,958190
"Qatar",2226192,77.27,25705
"Botswana",110268,4.69,63561
"Lithuania",145184,5.33,658057
"Namibia",109391,4.31,47770
"Gabon",416651,18.72,48392
"Lesotho",12060,0.56,202164
"Guinea-Bissau",17945,0.91,111790
"Slovenia",277964,13.37,160197
"North Macedonia",131311,6.3,693896
"Latvia",239422,12.69,380010
"Equatorial Guinea",230618,16.44,128774
"Trinidad and Tobago",78849,5.63,330519
"Bahrain",936094,55.01,58270
"Timor-Leste",8399,0.64,39588
"Estonia",199277,15.02,206631
"Mauritius",28893,2.27,182973
"Cyprus",190366,15.77,173210
"Eswatini",32858,2.83,50039
"Djibouti",119738,12.12,18365
"Reunion",131769,14.72,3064
"Fiji",14087,1.57,233856
"Comoros",12496,1.44,150823
"Guyana",31169,3.96,438413
"Bhutan",53612,6.95,51998
"Solomon Islands",2520,0.37,4270
"Macau",403490,62.14,145192
"Luxembourg",298062,47.62,81757
"Suriname",47801,8.15,273209
"Montenegro",70999,11.3,132965
"Cape Verde",15788,2.84,187558
"Western Sahara",5424,0.91,194932
"Malta",114760,25.99,102793
"Maldives",70079,12.96,3715
"Belize",62043,15.6,52756
"Bahamas",63583,16.17,53793
"Guadeloupe",90206,22.54,12542
"Iceland",65424,19.17,43251
"Martinique",68624,18.29,12964
"Mayotte",111540,40.88,6767
"Vanuatu",3257,1.06,7246
"French Guiana",119249,39.93,4595
"French Polynesia",30081,10.71,2157
"New Caledonia",73141,26.89,5839
"Barbados",34869,12.13,99611
"Sao Tome and Principe",2139,0.98,39608
"Samoa",4021,2.03,135732
"Curacao",57210,36.91,7611
"Saint Lucia",8338,4.54,71227
"Guam",80472,47.68,2213
"Kiribati",3126,2.62,5103
"Grenada",7213,6.41,62204
"Micronesia",2832,2.46,24945
"Tonga",3742,3.54,74550
"Seychelles",13050,13.27,29258
"Aruba",53593,50.19,21456
"United States Virgin Islands",56753,53.39,3908
"Isle of Man",43040,50.62,12032
"Andorra",45574,58.98,11132
"Dominica",8284,11.51,78191
"Cayman Islands",29242,44.49,1908
"Bermuda",19739,30.89,21107
"Greenland",5899,10.39,17866
"Faroe Islands",6812,13.94,12927
"Northern Mariana Islands",21843,37.95,2741
"Saint Kitts and Nevis",7725,14.52,50285
"Turks and Caicos Islands",25748,66.5,2689
"Sint Maarten",28845,70.68,2191
"American Samoa",23608,42.77,1832
"Marshall Islands",3298,5.57,10886
"Liechtenstein",25877,67.87,3706
"Monaco",26601,67.79,32552
"San Marino",5543,16.34,2407
"Gibraltar",11190,33.21,13389
"British Virgin Islands",22164,73.29,5355
"Palau",5088,28.12,2656
"Cook Islands",4579,26.07,21106
"Anguilla",5715,38.09,2505
"Nauru",2201,20.33,2454
"Tuvalu",239,2.03,3670
"Wallis and Futuna",2040,18.15,11917
"Saint Pierre and Miquelon",998,17.22,433
"Montserrat",1379,27.62,24582
"Falkland Islands",1957,56.24,1518
"Niue",588,35.79,5186
"Tokelau",1238,91.23,2112
"Vatican City",809,100,174