"country","averageIqByCountry_iqLynnBecker2019","averageIqByCountry_sourceLynnBecker2019","AverageIQ_ICI2017Grade","AverageIQ_ICI2017Score","AverageIQPISA2022MeanScoreMathematics","AverageIQPISA2022MeanScoreReading","AverageIQPISA2022MeanScoreScience"
"India",76.24,"T","C-",29.4,406,405,403
"China",104.1,"T","B",47.3,390,374,384
"United States",97.43,"T","A+",74.9,,,
"Indonesia",78.49,"T","D+",23.7,365,339,365
"Pakistan",80,"T","D",19.6,,,
"Nigeria",67.76,"T","D-",13.9,469,462,472
"Brazil",83.38,"T","C+",36.2,383,409,411
"Bangladesh",74.33,"T","D",16.9,,,
"Russia",96.29,"T","B",46.6,,,
"Ethiopia",68.42,"T","D-",10.3,,,
"Mexico",87.73,"T","C",30.7,547,515,537
"Japan",106.48,"T","A-",58.9,389,359,380
"Philippines",81.64,"T","C-",26.6,,,
"Egypt",76.32,"T","D+",21.6,471,482,477
"DR Congo",64.92,"T",,,492,516,504
"Vietnam",89.53,"T","C-",25.1,,,
"Iran",80.01,"T","C-",25.5,,,
"Turkey",86.8,"T","C",33.4,,,
"Germany",100.74,"T","A",64.2,,,
"Thailand",88.87,"T","C-",29.2,,,
"Tanzania",74.95,"T","D-",14.4,,,
"United Kingdom",99.12,"T","A",64.2,,,
"France",96.69,"T","A-",56.7,,,
"South Africa",68.87,"T","C",33,,,
"Italy",94.23,"T","B",48,479,501,504
"Kenya",75.2,"T","D",19.3,,,
"Myanmar",91.18,"E",,,,,
"Colombia",83.13,"T","C-",27.9,475,480,492
"South Korea",102.35,"T","A-",56.4,,,
"Uganda",76.42,"T","D-",12.4,,,
"Sudan",78.87,"T",,,,,
"Spain",93.9,"T","B",49.8,,,
"Iraq",89.28,"T",,,,,
"Algeria",76,"E","D",19.1,378,401,406
"Argentina",86.63,"T","B-",40.5,397,365,380
"Afghanistan",82.12,"E",,,368,358,376
"Poland",96.35,"T","B",45.6,,,
"Canada",99.52,"T","A",61.2,,,
"Morocco",67.03,"T","D+",22.6,,,
"Ukraine",90.07,"T","C+",38.3,,,
"Angola",75.1,"T",,,487,498,507
"Saudi Arabia",76.36,"T","C",30.2,,,
"Uzbekistan",89.01,"T",,,,,
"Yemen",62.86,"T",,,,,
"Mozambique",72.5,"E","D-",10.9,453,456,476
"Ghana",58.16,"T","D",17.4,475,472,484
"Peru",81.44,"T","C-",28,,,
"Malaysia",87.58,"T","C+",35.5,485,469,500
"Nepal",42.99,"T","D",18.3,431,417,432
"Madagascar",76.79,"E","D-",9,575,543,561
"Ivory Coast",58.16,"E",,,,,
"Venezuela",82.99,"T","C-",26.8,,,
"Cameroon",67.76,"E","D",17.8,,,
"Niger",70.82,"E",,,,,
"Australia",99.24,"T","A",64,,,
"North Korea",98.82,"E",,,,,
"Syria",74.41,"T",,,,,
"Mali",59.76,"T","D-",9.9,527,515,528
"Taiwan",106.47,"T","B",45.7,,,
"Burkina Faso",73.8,"T",,,487,489,498
"Sri Lanka",86.62,"T","D+",23.2,,,
"Malawi",69.7,"T","D-",10.7,464,447,462
"Zambia",68.43,"E","D",18.9,,,
"Kazakhstan",88.89,"T","C+",35.1,,,
"Chile",87.89,"T","C+",37.8,474,474,487
"Romania",86.88,"T","C+",39.4,,,
"Chad",78.87,"E","D-",10.3,484,490,511
"Somalia",67.67,"T",,,,,
"Ecuador",78.26,"T","C-",25.3,458,474,465
"Guatemala",47.72,"T","D+",22.8,409,388,416
"Senegal",77.37,"E","D-",13.2,,,
"Netherlands",100.74,"T","A-",58.7,489,494,500
"Cambodia",99.75,"T","D",16.1,339,351,360
"Zimbabwe",74.01,"T","D-",11.7,,,
"Guinea",53.48,"E","D-",6.8,,,
"Rwanda",69.95,"E","D-",9.9,,,
"Benin",69.71,"E","D-",12.8,336,329,347
"Burundi",72.09,"E","D-",8.8,489,489,494
"Bolivia",76.53,"T","D+",22.3,,,
"Tunisia",79.22,"E","D+",24.8,,,
"Haiti",82.1,"T",,,,,
"Belgium",97.49,"T","A-",58.7,417,404,421
"Dominican Republic",82.05,"T","D+",23.9,,,
"Jordan",80.7,"T","C-",26,468,477,478
"South Sudan",58.61,"T",,,,,
"Cuba",83.9,"T",,,,,
"Honduras",62.16,"E","D+",20.2,,,
"Sweden",97,"T","A",61.6,,,
"Papua New Guinea",78.49,"E",,,,,
"Czech Republic",94.92,"T","B+",51.8,473,473,486
"Azerbaijan",84.81,"E","C-",28.6,,,
"Tajikistan",87.71,"T","D+",23.1,,,
"Greece",90.77,"T","B-",40.1,552,510,543
"Portugal",92.77,"T","B-",44.8,,,
"Hungary",99.24,"T","B",50,414,411,417
"United Arab Emirates",82.05,"T","C+",35.9,,,
"Belarus",101.6,"T",,,442,429,446
"Israel",92.43,"T","B+",50.1,493,459,488
"Togo",59.83,"E",,,,,
"Sierra Leone",45.07,"T",,,,,
"Austria",98.38,"T","A-",58.7,489,479,491
"Switzerland",99.24,"T","A",61.6,,,
"Laos",80.99,"T","D",18.8,355,347,356
"Hong Kong",105.37,"T","B+",51.2,395,415,410
"Nicaragua",52.69,"T","D+",22.5,364,336,355
"Serbia",89.6,"T","C+",35.2,,,
"Libya",80.92,"T",,,,,
"Paraguay",84.04,"E","D+",24.5,,,
"Kyrgyzstan",79.09,"T","C-",27.2,391,408,408
"Bulgaria",90.99,"T","B-",43.3,418,381,411
"Turkmenistan",85.86,"E",,,,,
"El Salvador",69.63,"E","D+",21.7,377,410,403
"Republic of the Congo",62.97,"T",,,,,
"Singapore",105.89,"T","A",63.6,,,
"Denmark",97.83,"T","A",60.3,459,436,447
"Central African Republic",62.55,"E",,,,,
"Slovakia",96.32,"T","B-",43.6,,,
"Finland",101.2,"T","A",60.5,,,
"Liberia",45.07,"E",,,428,428,428
"Norway",97.13,"T","B+",55,,,
"Palestine",77.69,"T",,,,,
"New Zealand",98.57,"T","A-",57.3,409,430,435
"Costa Rica",88.34,"T","C",32.4,344,374,373
"Lebanon",81.7,"T","D",19.8,472,477,484
"Ireland",95.13,"T","B+",53.6,,,
"Mauritania",59.76,"E","D-",11.6,482,487,494
"Oman",78.7,"T","C-",27.1,,,
"Panama",79,"E","C-",28.8,,,
"Kuwait",78.64,"T","C-",29.8,338,373,368
"Croatia",95.75,"T","C+",38.5,,,
"Eritrea",68.77,"T",,,536,516,547
"Georgia",84.5,"E","C",31.5,,,
"Mongolia",91.03,"T","C-",27.4,394,379,409
"Uruguay",87.59,"E","C+",37.9,,,
"Moldova",89.98,"E","C",31.5,,,
"Puerto Rico",81.99,"T",,,,,
"Bosnia and Herzegovina",88.54,"T","C-",25.8,412,448,444
"Gambia",52.68,"T",,,483,475,494
"Albania",81.75,"E","D+",23.4,,,
"Jamaica",75.08,"T","C-",26.7,,,
"Armenia",88.82,"E","C-",29.6,,,
"Qatar",80.78,"T","C",31.3,,,
"Botswana",69.45,"T","D+",23.9,,,
"Lithuania",95.89,"T","B",46.3,389,383,390
"Namibia",66.19,"T","D",18.9,,,
"Gabon",62.97,"E",,,,,
"Lesotho",68.87,"E","D",16.1,414,419,432
"Slovenia",98.6,"T","B+",51.5,,,
"North Macedonia",81.91,"E","C-",28.3,,,
"Latvia",94.79,"T","B",45.8,489,489,499
"Bahrain",83.6,"T","C-",29.6,,,
"Estonia",100.72,"T","B",49.5,361,342,375
"Mauritius",86.56,"T","C",31.7,508,483,503
"Cyprus",93.39,"T","C+",38.5,540,500,520
"Eswatini",68.87,"E",,,425,386,423
"Djibouti",68.41,"E",,,,,
"Fiji",83.96,"E",,,355,342,357
"Comoros",77.07,"E",,,,,
"Guyana",83.23,"E",,,466,445,466
"Bhutan",87.94,"E",,,497,507,515
"Solomon Islands",83.96,"E",,,,,
"Macau",99.82,"E",,,440,440,447
"Luxembourg",99.87,"E","B+",53.8,,,
"Suriname",90.29,"E",,,,,
"Montenegro",85.78,"E","C",34.6,,,
"Cape Verde",52.5,"E",,,343,365,373
"Malta",91.27,"T","B-",40.8,473,474,485
"Maldives",80.54,"E",,,,,
"Brunei",87.58,"E",,,463,475,483
"Belize",62.55,"E",,,,,
"Bahamas",86.99,"T",,,,,
"Iceland",98.26,"T","B+",52,425,378,412
"Vanuatu",93.92,"E",,,,,
"New Caledonia",93.92,"E",,,465,504,499
"Barbados",91.6,"T",,,379,410,403
"Sao Tome and Principe",65.22,"E",,,,,
"Samoa",83.96,"E",,,,,
"Saint Lucia",73.68,"E",,,,,
"Kiribati",83.96,"E",,,366,349,369
"Grenada",79.34,"E",,,,,
"Micronesia",83.96,"E",,,,,
"Tonga",83.96,"E",,,,,
"Seychelles",78.76,"T",,,,,
"Saint Vincent and the Grenadines",63.42,"T",,,,,
"Antigua and Barbuda",70.48,"E",,,487,480,491
"Andorra",95.2,"E",,,,,
"Dominica",66.03,"T",,,366,359,383
"Cayman Islands",82.24,"E",,,510,511,526
"Bermuda",93.48,"T",,,,,
"Greenland",98.89,"T",,,,,
"Northern Mariana Islands",81.36,"E",,,,,
"Saint Kitts and Nevis",70.48,"E",,,,,
"Turks and Caicos Islands",84.29,"E",,,,,
"Marshall Islands",83.96,"T",,,,,
"Liechtenstein",101.07,"E",,,,,
"British Virgin Islands",76.69,"E",,,385,415,411
"Cook Islands",83.96,"E",,,430,438,441